nom,date,cumulative_confirmed_deaths
Mongbalu,2026-05-14,ND
Mongbalu,2026-05-15,ND
Rwampara,2026-05-15,ND
Bunia,2026-05-15,ND
Mongbalu,2026-05-18,ND
Rwampara,2026-05-18,ND
Bunia,2026-05-18,ND
Nyakunde,2026-05-18,ND
Goma,2026-05-18,ND
Katwa,2026-05-18,ND
Butembo,2026-05-18,ND
Mongbalu,2026-05-19,0
Rwampara,2026-05-19,0
Bunia,2026-05-19,0
Nyakunde,2026-05-19,0
Goma,2026-05-19,ND
Katwa,2026-05-19,ND
Butembo,2026-05-19,ND
Mongbalu,2026-05-20,0
Rwampara,2026-05-20,0
Bunia,2026-05-20,0
Nyakunde,2026-05-20,0
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Butembo,2026-05-20,ND
Bambu,2026-05-20,ND
Mongbalu,2026-05-21,0
Rwampara,2026-05-21,1
Bunia,2026-05-21,1
Nyakunde,2026-05-21,0
Goma,2026-05-21,0
Katwa,2026-05-21,0
Butembo,2026-05-21,0
Bambu,2026-05-21,0
Nizi,2026-05-21,0
Kilo,2026-05-21,0
Miti-Murhesa,2026-05-21,0
Mongbalu,2026-05-22,0
Rwampara,2026-05-22,2
Bunia,2026-05-22,2
Nyakunde,2026-05-22,0
Goma,2026-05-22,0
Katwa,2026-05-22,0
Butembo,2026-05-22,0
Bambu,2026-05-22,0
Nizi,2026-05-22,0
Kilo,2026-05-22,0
Miti-Murhesa,2026-05-22,0
Komanda,2026-05-22,1
Mongbalu,2026-05-23,0
Rwampara,2026-05-23,2
Bunia,2026-05-23,2
Nyakunde,2026-05-23,0
Goma,2026-05-23,0
Katwa,2026-05-23,0
Butembo,2026-05-23,0
Bambu,2026-05-23,0
Nizi,2026-05-23,0
Kilo,2026-05-23,0
Miti-Murhesa,2026-05-23,0
Komanda,2026-05-23,1
Mongbalu,2026-05-24,0
Rwampara,2026-05-24,2
Bunia,2026-05-24,2
Nyakunde,2026-05-24,0
Goma,2026-05-24,0
Katwa,2026-05-24,0
Butembo,2026-05-24,0
Bambu,2026-05-24,0
Nizi,2026-05-24,0
Kilo,2026-05-24,0
Miti-Murhesa,2026-05-24,0
Komanda,2026-05-24,1
